"origin_city","destination_city","total_passengers"
"Los Angeles, CA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)","79106"
"Los Angeles, CA (Metropolitan Area)","New York City, NY (Metropolitan Area)","66713"
"New York City, NY (Metropolitan Area)","San Francisco, CA (Metropolitan Area)","45752"
"Miami, FL (Metropolitan Area)","New York City, NY (Metropolitan Area)","45592"
"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)","26854"
"Boston, MA (Metropolitan Area)","Washington, DC (Metropolitan Area)","24766"
"Chicago, IL","San Francisco, CA (Metropolitan Area)","24699"
"Chicago, IL","New York City, NY (Metropolitan Area)","22155"
"Chicago, IL","Miami, FL (Metropolitan Area)","18593"
"Dallas/Fort Worth, TX","Los Angeles, CA (Metropolitan Area)","18452"
