"year","origin_city","destination_city","total_passengers","rnk"
2008,"New York City, NY (Metropolitan Area)","Tampa, FL (Metropolitan Area)","4315","1"
2009,"Chicago, IL","New York City, NY (Metropolitan Area)","6126","1"
2010,"Los Angeles, CA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)","17771","1"
2011,"San Diego, CA","San Francisco, CA (Metropolitan Area)","5390","1"
2012,"Boston, MA (Metropolitan Area)","Dallas/Fort Worth, TX","3470","1"
2013,"Los Angeles, CA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)","18027","1"
2014,"Los Angeles, CA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)","19623","1"
2015,"Miami, FL (Metropolitan Area)","New York City, NY (Metropolitan Area)","15645","1"
2016,"Los Angeles, CA (Metropolitan Area)","New York City, NY (Metropolitan Area)","13360","1"
2017,"Miami, FL (Metropolitan Area)","New York City, NY (Metropolitan Area)","14040","1"
2018,"Los Angeles, CA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)","23685","1"
2019,"Los Angeles, CA (Metropolitan Area)","New York City, NY (Metropolitan Area)","29875","1"
2020,"Los Angeles, CA (Metropolitan Area)","New York City, NY (Metropolitan Area)","3390","1"
2021,"Los Angeles, CA (Metropolitan Area)","New York City, NY (Metropolitan Area)","10957","1"
2022,"Chicago, IL","San Francisco, CA (Metropolitan Area)","6362","1"
2023,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)","16147","1"
2024,"Chicago, IL","San Francisco, CA (Metropolitan Area)","4080","1"
2025,"Chicago, IL","New York City, NY (Metropolitan Area)","8149","1"
