"origin_city","destination_city","cheapest_fare"
"Philadelphia, PA","Raleigh/Durham, NC","59.48125"
"New Orleans, LA","Tampa, FL (Metropolitan Area)","65.67184466"
"Philadelphia, PA","Savannah, GA","72.48181818"
"Columbus, OH","Orlando, FL","75.03772727"
"Memphis, TN","Tampa, FL (Metropolitan Area)","75.13727811"
"Phoenix, AZ","Provo, UT","75.23456522"
"Austin, TX","Charlotte, NC","75.34677871"
"Knoxville, TN","New York City, NY (Metropolitan Area)","75.50719424"
"Los Angeles, CA (Metropolitan Area)","Medford, OR","75.56704981"
"Detroit, MI","Kansas City, MO","75.65608553"
