"year_quarter","total_passengers"
"2008_Q3","13790"
"2008_Q4","21375"
"2009_Q1","75939"
"2009_Q2","8350"
"2009_Q3","15800"
"2009_Q4","11170"
"2010_Q1","100405"
"2010_Q2","1690"
"2010_Q3","18280"
"2010_Q4","15585"
"2011_Q1","79792"
"2011_Q2","6920"
"2011_Q3","12055"
"2011_Q4","14190"
"2012_Q1","4510"
"2012_Q2","4430"
"2012_Q3","10020"
"2012_Q4","16600"
"2013_Q1","117274"
"2013_Q2","16090"
"2013_Q3","13600"
"2013_Q4","19010"
"2014_Q1","98573"
"2014_Q2","7810"
"2014_Q3","14925"
"2014_Q4","22985"
"2015_Q1","110808"
"2015_Q2","8230"
"2015_Q3","16440"
"2015_Q4","18280"
"2016_Q1","13210"
"2016_Q2","4290"
"2016_Q3","30440"
"2016_Q4","14030"
"2017_Q1","101807"
"2017_Q2","9420"
"2017_Q3","27565"
"2017_Q4","15525"
"2018_Q1","100442"
"2018_Q2","3830"
"2018_Q3","35825"
"2018_Q4","30005"
"2019_Q1","105550"
"2019_Q2","33710"
"2019_Q3","9695"
"2019_Q4","26405"
"2020_Q1","6880"
"2020_Q2","1780"
"2020_Q3","4850"
"2020_Q4","9540"
"2021_Q1","40732"
"2021_Q2","21670"
"2021_Q3","25170"
"2021_Q4","13170"
"2022_Q1","71117"
"2022_Q2","5390"
"2022_Q3","27285"
"2022_Q4","20490"
"2023_Q1","99990"
"2023_Q2","13250"
"2023_Q3","14830"
"2023_Q4","20570"
"2024_Q1","13210"
"2024_Q2","10180"
"2024_Q3","13610"
"2024_Q4","20330"
"2025_Q1","103263"
"2025_Q2","8590"
